Image_Name,Run_Duration,Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,b,nΩ,nχ,χ0A,y0A,Ω0,Ωf,χ0B0,χ0Bf,y0B0,y0Bf,λ,Numeric_Derivative_ε,rtol,maxevals,Contour_ε
concurrence_above_pulse_2024-11-28T17_24_50.552,114,quench,true,cos4,1.0,8.378850189044405,8.378850189044405,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.0005
concurrence_at_pulse_2024-11-28T13_36_57.003,63,quench,true,cos4,1.0,2.0947125472611012,2.0947125472611012,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.0005
concurrence_below_pulse_2024-11-28T12_33_49.958,62,quench,true,cos4,1.0,0.6001351447903055,0.6001351447903055,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.0005
